PMID,Title,Author,Abstract
24278995,CASK Disorders,Ute Moog,"Clinical characteristics: CASK disorders include a spectrum of phenotypes in both females and males. Two main types of clinical presentation are seen: Microcephaly with pontine and cerebellar hypoplasia (MICPCH), generally associated with pathogenic loss-of-function variants in CASKX-linked intellectual disability (XLID) with or without nystagmus, generally associated with hypomorphic CASK pathogenic variants MICPCH is typically seen in females with moderate-to-severe intellectual disability, progressive microcephaly with or without ophthalmologic anomalies, and sensorineural hearing loss. Most are able to sit independently; 20%-25% attain the ability to walk; language is nearly absent in most. Neurologic features may include axial hypotonia, hypertonia/spasticity of the extremities, and dystonia or other movement disorders. Nearly 40% have seizures by age ten years. Behaviors may include sleep disturbances, hand stereotypies, and self biting. MICPCH in males may occur with or without severe epileptic encephalopathy in addition to severe-to-profound developmental delay. When seizures are present they occur early and may be intractable. In individuals and families with milder (i.e., hypomorphic) pathogenic variants, the clinical phenotype is usually that of XLID with or without nystagmus and additional clinical features. Males have mild-to-severe intellectual disability, with or without nystagmus and other ocular features. Females typically have normal intelligence with some displaying mild-to-severe intellectual disability with or without ocular features. Diagnosis/testing: The diagnosis of a CASK disorder is established in a female who is heterozygous for a CASK pathogenic variant and in a male who is hemizygous for a CASK pathogenic variant on molecular genetic testing. Rarely, affected males have a mosaic pathogenic variant. Management: Treatment of manifestations: Treatment is symptomatic and includes standard management of developmental delay and intellectual disability issues; medication for seizures; nutritional support; use of physiotherapy; and treatment of abnormal vision or hearing loss. Genetic counseling: CASK disorders are inherited in an X-linked manner. Risk to the family members of a proband with a CASK disorder depends on the phenotype (i.e., MICPCH or XLID ± nystagmus) in the proband. MICPCH. Most affected females and males represent simplex cases (i.e., the only affected family member) and have the disorder as the result of a de novo CASK pathogenic variant. Because heterozygous females manifest the phenotype, an asymptomatic mother is unlikely to be heterozygous for the CASK pathogenic variant. If a proband represents a simplex case, the recurrence risk to sibs appears to be low but greater than that of the general population because of the possibility of parental germline mosaicism.XLID ± nystagmus. The father of a male with a CASK disorder will not have the disorder nor will he be hemizygous for the CASK pathogenic variant. If a male is the only affected family member, the mother may be a heterozygote or the affected male may have a de novo pathogenic variant. In a family with more than one affected individual, the mother of an affected male is an obligate heterozygote. If the mother of the proband has a CASK pathogenic variant, the chance of transmitting it in each pregnancy is 50%: males who inherit the pathogenic variant will be affected; females who inherit the pathogenic variant will typically be asymptomatic but may have a range of manifestations. If the CASK pathogenic variant cannot be detected in maternal leukocyte DNA, the risk to sibs is greater than that of the general population because of the possibility of parental germline mosaicism. Once the CASK pathogenic variant has been identified in an affected family member, prenatal testing for a pregnancy at increased risk and preimplantation genetic testing for a CASK disorder are possible."
25529590,WAIS-IV administration errors: effects of altered response requirements on Symbol Search and violation of standard surface-variety patterns on Block Design,Joseph J Ryan,"This study utilized a sample of 50 college students to assess the possibility that responding to the Wechsler Adult Intelligence Scale-Fourth Edition (WAIS-IV) Symbol Search subtest items with an ""x"" instead of a ""single slash mark"" would affect performance. A second sample of 50 college students was used to assess the impact on WAIS-IV Block Design performance of presenting all the items with only red surfaces facing up. The modified Symbol Search and Block Design administrations yielded mean scaled scores and raw scores that did not differ significantly from mean scores obtained with standard administrations. Findings should not be generalized beyond healthy, well-educated young adults."
25529585,Apparently abnormal Wechsler Memory Scale index score patterns in the normal population,Roman Marcus Carrasco,"Interpretation of the Wechsler Memory Scale-Fourth Edition may involve examination of multiple memory index score contrasts and similar comparisons with Wechsler Adult Intelligence Scale-Fourth Edition ability indexes. Standardization sample data suggest that 15-point differences between any specific pair of index scores are relatively uncommon in normal individuals, but these base rates refer to a comparison between a single pair of indexes rather than multiple simultaneous comparisons among indexes. This study provides normative data for the occurrence of multiple index score differences calculated by using Monte Carlo simulations and validated against standardization data. Differences of 15 points between any two memory indexes or between memory and ability indexes occurred in 60% and 48% of the normative sample, respectively. Wechsler index score discrepancies are normally common and therefore not clinically meaningful when numerous such comparisons are made. Explicit prior interpretive hypotheses are necessary to reduce the number of index comparisons and associated false-positive conclusions. Monte Carlo simulation accurately predicts these false-positive rates."
25284715,A longitudinal intergenerational analysis of executive functions during early childhood,Kimberly Cuevas,"Despite the importance of executive function (EF) in both clinical and educational contexts, the aetiology of individual differences in early childhood EF remains poorly understood. This study provides the first longitudinal intergenerational analysis of mother-child EF associations during early childhood. A group of children and their mothers (n = 62) completed age-appropriate EF tasks. Mother and child EFs were modestly correlated by 24 months of age, and this association was stable through 48 months. Importantly, maternal-child EF associations were still robust after controlling for verbal ability (potential indicator of verbal/crystallized intelligence) and maternal education (correlate of socio-economic status and verbal intelligence). Potential implications of these findings as well as underlying mechanisms of the maternal-child EF association (gene-environment interplay) are discussed."
25265311,The design organization test: further demonstration of reliability and validity as a brief measure of visuospatial ability,William D S Killgore,"Neuropsychological assessments are frequently time-consuming and fatiguing for patients. Brief screening evaluations may reduce test duration and allow more efficient use of time by permitting greater attention toward neuropsychological domains showing probable deficits. The Design Organization Test (DOT) was initially developed as a 2-min paper-and-pencil alternative for the Block Design (BD) subtest of the Wechsler scales. Although initially validated for clinical neurologic patients, we sought to further establish the reliability and validity of this test in a healthy, more diverse population. Two alternate versions of the DOT and the Wechsler Abbreviated Scale of Intelligence (WASI) were administered to 61 healthy adult participants. The DOT showed high alternate forms reliability (r = .90-.92), and the two versions yielded equivalent levels of performance. The DOT was highly correlated with BD (r = .76-.79) and was significantly correlated with all subscales of the WASI. The DOT proved useful when used in lieu of BD in the calculation of WASI IQ scores. Findings support the reliability and validity of the DOT as a measure of visuospatial ability and suggest its potential worth as an efficient estimate of intellectual functioning in situations where lengthier tests may be inappropriate or unfeasible."
25258654,A Practical Testing Battery to Measure Neurobehavioral Ability among Children with FASD,Wendy O Kalberg,"Aims: To determine a brief, practical battery of tests that discriminate between children with a fetal alcohol spectrum disorder (FASD) and unexposed controls. Design: Children received dysmorphology exams, a targeted battery of cognitive and behavioral tests, and their mothers were interviewed about maternal risk factors. Children diagnosed with an FASD and children unexposed to alcohol prenatally were compared on cognitive/behavioral test results. Setting: A community in The Western Cape Province of South Africa. Participants: Sixty-one, first grade children with FASD and 52 matched normal controls. Measures: Statistical analyses of maternal drinking behavior and their child's test performance. Findings: Self-reported maternal drinking patterns before during and after pregnancy were used to confirm prenatal exposures to alcohol in the group of children diagnosed with FASD. With this sample of children diagnosed with FASD and completely unexposed controls, the adverse effects of maternal drinking on children's performance are reported. Results of the battery of standardized cognitive and behavioral tests indicate highly significant differences (p ≤ .001) between groups on: intelligence, perceptual motor, planning, and logical, spatial, short term, long term, and working memory abilities. Furthermore, a binary logistical regression model of only 3 specific cognitive and behavioral tests, including Digit Span A+B (Wald = 4.10), Absurd Situation (Wald = 3.57), and Word Association (Wald = 4.30) correctly classified 79.1% of the child participants as FASD or controls. Conclusions: A brief, practical set of tests can discriminate children with and without FASD and provide useful information for interventions for affected children."
25076796,"Spatial, Temporal and Spatio-Temporal Patterns of Maritime Piracy",Elio Marchione,"Objectives: To examine patterns in the timing and location of incidents of maritime piracy to see whether, like many urban crimes, attacks cluster in space and time. Methods: Data for all incidents of maritime piracy worldwide recorded by the National Geospatial Intelligence Agency are analyzed using time-series models and methods originally developed to detect disease contagion. Results: At the macro level, analyses suggest that incidents of pirate attacks are concentrated in five subregions of the earth's oceans and that the time series for these different subregions differ. At the micro level, analyses suggest that for the last 16 years (or more), pirate attacks appear to cluster in space and time suggesting that patterns are not static but are also not random. Conclusions: Much like other types of crime, pirate attacks cluster in space, and following an attack at one location the risk of others at the same location or nearby is temporarily elevated. The identification of such regularities has implications for the understanding of maritime piracy and for predicting the future locations of attacks."
25030251,Factors influencing post-traumatic stress in Korean forensic science investigators,Yang-Sook Yoo,"Purpose: The aim of this study was to understand factors that influence post-traumatic stress (PTS) in Korean forensic science investigators. Methods: A total of 111 forensic science investigators were recruited in Korea. PTS was measured using the tool modified by Choi (2001) from the original developed by Foa, Riggs, Dancu, and Rothbaum (1993) based on DSM-IV. Factors influencing PTS included demographic and job-related characteristics, emotional intelligence, and death anxiety. Results: PTS scores were positively correlated with personality type, fatigue from work, and death anxiety. PTS scores were negatively correlated with length of career as a forensic science investigator and emotional intelligence. The factors that had the greatest influence on PTS were death anxiety, years spent as a forensic science investigator, personality type, emotional intelligence, fatigue, and homicide experience. The explanatory power of these six factors was 44.0%. Conclusion: Therefore, it is necessary to regularly evaluate the mental health of those who are vulnerable to PTS. Based on these results, various interventions could be implemented for promoting overall health of the forensic science investigators."
25007536,The role of the jumping to conclusion bias in delusions formation],Jagoda Rózycka,"The results of many researches indicate that individuals with delusions reveal the reasoning bias. In probabilistic reasoning tasks they reveal hastiness in decision-making. The individuals with delusions request less information than non-deluded individuals, even if additional data is easily available. What is more, they also prove to be convinced to a greater extend of having made the right decision. This finding has been replicated by a number of studies. However, the previous researches have not confirmed the origins of 'jumping to conclusion' bias, and its role in the process of forming delusions has not been yet confirmed. The article in question contains the review of the results of the jumping to conclusion bias in people with delusions. It discusses the main hypotheses explaining the relations between the hasty decision making and the delusions formation. The article also deals with the specifics of 'jumping to conclusion' bias in case of individuals with delusions, as well as summarizes its relation to factors such as the level of intelligence or the intensity of delusion."
24990635,What my parents make me believe in learning: the role of filial piety in Hong Kong students' motivation and academic achievement,Wei-Wen Chen,"Chinese students are well-known for their academic excellence. However, studies that explore the underlying mechanism of how cultural factors relate to the motivational process and academic achievement of Chinese students have been limited. This study aimed to examine the role of filial piety in shaping Chinese students' theories of intelligence so as to obtain a clearer understanding of the process by which parent-child connectedness is linked to Chinese students' academic achievement. A sample of 312 university students in Hong Kong were assessed concerning their filial piety beliefs, theories of intelligence and academic achievement. Data were analysed using structural equation modelling. The results indicated that different filial piety beliefs relate to students' academic achievement by shaping different theories of intelligence. Reciprocal filial piety beliefs were found to facilitate an incremental view of intelligence, which in turn contributes to students' academic achievement. Authoritarian filial piety beliefs were shown to be associated with an entity view of intelligence, which consequently deteriorates students' academic achievement. Cultural views of motivational processes can shed light on how motivational beliefs are developed as a product of cultural or socialization processes, which, in turn, contribute to students' academic success."
